Nombre,Imagen,Web
Gran Canaria,https://www.mapa.gob.es/images/es/289_tcm30-631966.png,https://vinosdegrancanaria.es/
Granada,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/290_tcm30-631750.jpg,https://www.dopvinosdegranada.es/
Guijoso,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/291_tcm30-634085.jpg,http://pagina.jccm.es/agricul/paginas/comercial-industrial/consejos_new/pagoguijoso.htm
Islas Canarias,https://www.mapa.gob.es/images/es/295_tcm30-634013.jpg,https://www.canarywine.com/
Jerez-Xérès-Sherry,https://www.mapa.gob.es/images/es/296_tcm30-210122.jpg,https://www.sherry.wine/es/
Jumilla,https://www.mapa.gob.es/images/es/297_tcm30-210806.png,https://jumilla.wine/
La Gomera,https://www.mapa.gob.es/images/es/298_tcm30-634021.jpg,http://www.vinoslagomera.com/
La Mancha,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/300_tcm30-210847.jpg,https://lamanchawines.com/
La Palma,https://www.mapa.gob.es/images/es/301_tcm30-211633.jpg,https://www.vinoslapalma.com/
Lanzarote,https://www.mapa.gob.es/images/es/303_tcm30-211745.png,https://dolanzarote.com/
Lebrija,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/305_tcm30-631751.jpg,https://www.juntadeandalucia.es/organismos/agriculturapescaaguaydesarrollorural/areas/industrias-agroalimentarias/calidad/paginas/denominaciones-calidad-vinos-indicacion.html
León,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/logo_leon_tcm30-634094.jpg,https://www.doleon.es/
Los Balagueses,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/308_tcm30-635116.jpg,https://www.vegalfaro.com/
Málaga,https://www.mapa.gob.es/images/es/311_tcm30-211520.png,https://www.vinomalaga.com/consejo.html
Manchuela,https://www.mapa.gob.es/images/es/313_tcm30-210451.jpg,https://www.manchuela.wine/
Manzanilla S.B.,https://www.mapa.gob.es/images/es/314_tcm30-631752.jpg,https://www.sherry.wine/es/
Méntrida,https://www.mapa.gob.es/images/es/logotiporetina_tcm30-211236.png,https://www.domentrida.es/
Mondéjar,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/316_1_tcm30-210976.png,https://domondejar.es/
Monterrei,https://www.mapa.gob.es/images/es/317_tcm30-210238.jpg,http://www.domonterrei.wine/
Montilla-Moriles,https://github.com/Xicu980/WineProject/blob/main/data/img/montilla.png?raw=true,https://www.montillamoriles.es/
Montsant,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/319_tcm30-634106.jpg,https://www.domontsant.com/
Navarra,https://www.mapa.gob.es/images/es/321_tcm30-211673.png,https://www.navarrawine.com/
Pago de Arínzano,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/323_tcm30-635183.jpg,https://arinzano.com/
Pago de Otazu,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/324_tcm30-635184.jpg,https://bodegaotazu.es/
Pago El Vicario,https://github.com/Xicu980/WineProject/blob/main/data/img/pagovicario.png?raw=true,https://pagodelvicario.com
Pago Florentino,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/325_tcm30-634090.jpg,https://www.pagoflorentino.com/
Pago La Jaraba,https://lajaraba.com/wp-content/uploads/2024/07/logo-la_jaraba_footer.webp,https://lajaraba.com
Pago Los Cerrillos,https://github.com/Xicu980/WineProject/blob/main/data/img/cerrillos.png?raw=true,https://tienda.pagodeloscapellanes.com/es/
Pago Vallegarcía,https://vallegarcia.com/cdn/shop/files/logo_caballo_negro_180x.png,https://vallegarcia.com/
Penedés,https://www.mapa.gob.es/images/es/326_tcm30-211756.jpg,https://www.dopenedes.cat/
Pla de Bages,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/327_tcm30-210915.jpg,https://dopladebages.com/
Pla i Llevant,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/logo-ppal_tcm30-210251.png,http://doplaillevant.com/
Prado de Irache,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/logo-bodegas-irache-presentation_tcm30-635185.png,https://www.irache.com/
Priorat,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/330_tcm30-210543.jpg,https://www.doqpriorat.org/
Rías Baixas,https://www.mapa.gob.es/images/es/331_tcm30-210616.png,https://doriasbaixas.com/
Ribeira Sacra,https://www.mapa.gob.es/images/es/ribeira_sacra_logo_tcm30-211311.gif,https://ribeirasacra.org/
Ribeiro,https://www.mapa.gob.es/images/es/334_1_tcm30-210427.png,https://www.ribeiro.wine/es
Ribera del Duero,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/336_1_tcm30-210803.PNG,https://www.riberadelduero.es/
Ribera del Guadiana,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/338_tcm30-211564.png,https://www.riberadelguadiana.eu/
Ribera del Júcar,https://www.mapa.gob.es/images/es/340_tcm30-211498.png,https://www.vinosriberadeljucar.com/
Rioja,https://www.mapa.gob.es/images/es/342_1_tcm30-209913.png,https://www.riojawine.com/
Rueda,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/343_1_tcm30-211680.png,https://www.dorueda.com/es/
Sierra de Salamanca,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/345_tcm30-634095.jpg,https://www.dosierradesalamanca.es/
Sierras de Málaga,https://www.mapa.gob.es/images/es/349_tcm30-631753.png,https://vinomalaga.com/consejo.html
Somontano,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/somontano_tcm30-211491.png,https://dosomontano.com/
Tacoronte-Acentejo,https://www.mapa.gob.es/images/es/351_tcm30-210162.png,http://www.tacovin.com/
Tarragona,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/352_tcm30-211699.png,https://www.dotarragona.cat/
Terra Alta,https://www.mapa.gob.es/images/es/353_tcm30-211427.png,https://www.doterraalta.com/
Tierra del Vino de Zamora,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/354_tcm30-634096.png,https://www.tierradelvino.net/
Toro,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/355_tcm30-211271.png,https://www.dotoro.com/
Uclés,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/357_tcm30-634091.jpg,http://www.vinosdeucles.es/
Urueña,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/382_tcm30-635175.jpg,https://www.heredaduruena.com/
Utiel-Requena,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/358_tcm30-634113.jpg,https://utielrequena.org/
Valdeorras,https://www.mapa.gob.es/images/es/360_tcm30-210524.jpg,http://www.dovaldeorras.tv/
Valdepeñas,https://www.mapa.gob.es/images/es/361_tcm30-211444.jpg,https://vinosvaldepenas.com/en/
Valencia,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/valencia_logo_tcm30-210280.gif,https://www.dovalencia.info/
Valle de Güímar,https://www.mapa.gob.es/images/es/363_tcm30-211156.jpg,https://vinosvalleguimar.com/
Valle de la Orotava,https://www.mapa.gob.es/images/es/364_tcm30-210807.jpg,https://dovalleorotava.com/
Valles de Benavente,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/368_tcm30-634097.png,http://vallesdebenavente.org/
Valtiendas,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/370_1_tcm30-634098.png,http://www.vinosdevaltiendas.com/
Vera de Estenas,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/371_tcm30-635126.png,http://www.veradeestenas.es/
Vinos de Madrid,https://www.mapa.gob.es/images/es/373_tcm30-210693.png,https://vinosdemadrid.es/
Ycoden-Daute-Isora,https://www.mapa.gob.es/images/es/374_tcm30-210782.jpg,http://www.ycoden.com/
Yecla,https://www.mapa.gob.es/es/alimentacion/temas/calidad-diferenciada/375_tcm30-211663.png,https://www.yeclavino.com/web/es/
